cluster_name,cluster_context,cluster_server,name,version,available,progressing,degraded,upgradeable
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,authentication,4.18.28,True,False,False,True
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,console,4.18.28,True,False,False,True
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,etcd,4.18.28,True,False,False,True
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,ingress,4.18.28,True,False,False,True
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,kube-apiserver,4.18.28,True,False,False,True
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,monitoring,4.18.28,True,False,False,True
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,network,4.18.28,True,False,False,True
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,authentication,4.18.24,True,False,False,True
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,console,4.18.24,True,False,False,True
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,etcd,4.18.24,True,False,False,True
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,ingress,4.18.24,True,False,False,True
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,monitoring,4.18.24,True,True,False,True
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,authentication,4.18.18,True,False,False,True
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,console,4.18.18,True,False,False,True
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,etcd,4.18.18,True,False,False,True
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,ingress,4.18.18,True,False,True,False
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,monitoring,4.18.18,True,False,False,True
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,authentication,4.18.28,True,False,False,True
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,authentication,4.18.28,True,False,False,True
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,console,4.18.28,True,False,False,True
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,console,4.18.28,True,False,False,True
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,etcd,4.18.28,True,False,False,True
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,etcd,4.18.28,True,False,False,True
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,ingress,4.18.28,True,False,False,True
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,ingress,4.18.28,True,False,False,True
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,kube-apiserver,4.18.28,True,False,False,True
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,kube-apiserver,4.18.28,True,False,False,True
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,monitoring,4.18.28,True,False,False,True
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,monitoring,4.18.28,True,False,False,True
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,network,4.18.28,True,False,False,True
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,network,4.18.28,True,False,False,True
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,authentication,4.18.24,True,False,False,True
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,authentication,4.18.24,True,False,False,True
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,console,4.18.24,True,False,False,True
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,console,4.18.24,True,False,False,True
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,etcd,4.18.24,True,False,False,True
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,etcd,4.18.24,True,False,False,True
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,ingress,4.18.24,True,False,False,True
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,ingress,4.18.24,True,False,False,True
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,monitoring,4.18.24,True,True,False,True
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,monitoring,4.18.24,True,True,False,True
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,authentication,4.18.18,True,False,False,True
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,authentication,4.18.18,True,False,False,True
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,console,4.18.18,True,False,False,True
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,console,4.18.18,True,False,False,True
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,etcd,4.18.18,True,False,False,True
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,etcd,4.18.18,True,False,False,True
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,ingress,4.18.18,True,False,True,False
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,ingress,4.18.18,True,False,True,False
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,monitoring,4.18.18,True,False,False,True
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,monitoring,4.18.18,True,False,False,True
