cluster_name,cluster_context,cluster_server,record_type,component_name,status,namespace,detail_1,detail_2,detail_3,detail_4
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,ingresscontroller,default,Available,openshift-ingress-operator,replicas=3,endpoint-publishing=LoadBalancerService,tls-min-version=VersionTLS12,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,route_count,,128,,secure-edge=85,reencrypt=30,passthrough=13,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,insecure_routes,,0,,insecure-edge-termination-policy=None,,,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,waf,aws-waf,enabled,openshift-ingress,rules-count=24,,,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,ingresscontroller,default,Available,openshift-ingress-operator,replicas=2,endpoint-publishing=LoadBalancerService,tls-min-version=VersionTLS12,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,route_count,,45,,secure-edge=30,reencrypt=10,passthrough=5,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,insecure_routes,,2,,insecure-edge-termination-policy=Allow,,,
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,ingresscontroller,default,Degraded,openshift-ingress-operator,replicas=1,endpoint-publishing=LoadBalancerService,tls-min-version=VersionTLS10,
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,route_count,,15,,secure-edge=5,reencrypt=2,passthrough=0,
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,insecure_routes,,8,,insecure-edge-termination-policy=Allow,,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,ingresscontroller,default,Available,openshift-ingress-operator,replicas=3,endpoint-publishing=LoadBalancerService,tls-min-version=VersionTLS12,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,ingresscontroller,default,Available,openshift-ingress-operator,replicas=3,endpoint-publishing=LoadBalancerService,tls-min-version=VersionTLS12,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,route_count,,128,,secure-edge=85,reencrypt=30,passthrough=13,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,route_count,,128,,secure-edge=85,reencrypt=30,passthrough=13,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,insecure_routes,,0,,insecure-edge-termination-policy=None,,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,insecure_routes,,0,,insecure-edge-termination-policy=None,,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,waf,aws-waf,enabled,openshift-ingress,rules-count=24,,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,waf,aws-waf,enabled,openshift-ingress,rules-count=24,,,
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,ingresscontroller,default,Available,openshift-ingress-operator,replicas=2,endpoint-publishing=LoadBalancerService,tls-min-version=VersionTLS12,
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,ingresscontroller,default,Available,openshift-ingress-operator,replicas=2,endpoint-publishing=LoadBalancerService,tls-min-version=VersionTLS12,
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,route_count,,45,,secure-edge=30,reencrypt=10,passthrough=5,
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,route_count,,45,,secure-edge=30,reencrypt=10,passthrough=5,
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,insecure_routes,,2,,insecure-edge-termination-policy=Allow,,,
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,insecure_routes,,2,,insecure-edge-termination-policy=Allow,,,
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,ingresscontroller,default,Degraded,openshift-ingress-operator,replicas=1,endpoint-publishing=LoadBalancerService,tls-min-version=VersionTLS10,
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,ingresscontroller,default,Degraded,openshift-ingress-operator,replicas=1,endpoint-publishing=LoadBalancerService,tls-min-version=VersionTLS10,
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,route_count,,15,,secure-edge=5,reencrypt=2,passthrough=0,
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,route_count,,15,,secure-edge=5,reencrypt=2,passthrough=0,
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,insecure_routes,,8,,insecure-edge-termination-policy=Allow,,,
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,insecure_routes,,8,,insecure-edge-termination-policy=Allow,,,
