cluster_name,cluster_context,cluster_server,record_type,component_name,status,namespace,detail_1,detail_2,detail_3,detail_4
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,audit_profile,apiserver,WriteRequestBodies,,audit-log-enabled=true,retention=30d,,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,operator,cluster-logging,installed,openshift-logging,version=5.9.0,forwarder=elasticsearch,,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,operator,cluster-monitoring,installed,openshift-monitoring,prometheus=enabled,alertmanager=enabled,user-workload-monitoring=true,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,log_forwarder,instance,active,openshift-logging,outputs=splunk;elasticsearch,pipelines=2,,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,audit_profile,apiserver,Default,,audit-log-enabled=true,retention=7d,,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,operator,cluster-logging,installed,openshift-logging,version=5.9.0,forwarder=elasticsearch,,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,operator,cluster-monitoring,installed,openshift-monitoring,prometheus=enabled,alertmanager=enabled,user-workload-monitoring=false,
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,audit_profile,apiserver,Default,,audit-log-enabled=true,retention=1d,,
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,operator,cluster-logging,not-installed,,,,,
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,operator,cluster-monitoring,installed,openshift-monitoring,prometheus=enabled,alertmanager=disabled,user-workload-monitoring=false,
